feature,compare,Variable,Statistic,est,se,z,p
mir_rolloff85,ID vs. AD (overall),85th Energy Percentile,Whole,-744.65,155.62,-4.79,< .001
mir_attack_med,,Attack Curve Slope,Median,0.41,0.20,2.03,0.043
praat_f1_max,,First Formant,Maximum,-172.06,35.97,-4.78,< .001
praat_f1_range,,,Range,-186.41,38.91,-4.79,< .001
mir_inharmonicity,,Inharmonicity,Whole,-0.01,0.00,-4.28,< .001
praat_intensity_iqr,,Intensity,IQR,0.68,0.30,2.22,0.026
praat_intensity_min,,,Minimum,0.86,0.38,2.27,0.023
praat_inttrav_rate,,Intensity Rate,Whole,-4.42,0.48,-9.25,< .001
praat_inttrav_rate,,,Whole,2.99,0.43,6.92,< .001
praat_inttrav_mean,,Intensity Space,Mean,0.62,0.11,5.79,< .001
praat_inttrav_std,,,St. Dev.,1.76,0.26,6.65,< .001
praat_f0_1q,,Pitch,First Quartile,27.88,4.04,6.91,< .001
praat_f0_3q,,,Third Quartile,59.44,11.28,5.27,< .001
praat_f0_iqr,,,IQR,31.52,8.55,3.69,< .001
praat_f0_mean,,,Mean,42.19,6.91,6.11,< .001
praat_f0_med,,,Median,45.47,7.34,6.19,< .001
praat_f0_min,,,Minimum,8.13,2.72,2.99,0.003
praat_f0_std,,,St. Dev.,13.00,3.64,3.57,< .001
praat_f0travel_rate,,Pitch Rate,Whole,-37.30,4.34,-8.59,< .001
praat_f0travel_rate,,,Whole,23.36,4.62,5.05,< .001
praat_f0travel_1q,,Pitch Space,First Quartile,0.51,0.10,5.18,< .001
praat_f0travel_mean,,,Mean,3.24,1.34,2.42,0.015
praat_f0travel_med,,,Median,1.61,0.33,4.87,< .001
praat_f0travel_std,,,St. Dev.,6.99,2.35,2.98,0.003
praat_f2_max,,Second Formant,Maximum,-114.81,25.77,-4.46,< .001
praat_f2_med,,,Median,35.63,12.51,2.85,0.004
praat_f2_range,,,Range,-115.51,33.30,-3.47,0.001
praat_vowtrav_3q,,Vowel Space,Third Quartile,46.81,15.12,3.10,0.002
praat_vowtrav_iqr,,,IQR,45.23,12.97,3.49,< .001
praat_vowtrav_mean,,,Mean,38.13,10.68,3.57,< .001
praat_vowtrav_std,,,St. Dev.,51.71,10.80,4.79,< .001
praat_vowtrav_rate,,Vowel Space Travel Rate,Whole,212.31,37.85,5.61,< .001
