Feature,"$F(1, 1094)$",$p$,$R^{2}$
Pitch (Median),489.9,$5.27\times 10^{-90}$,0.309
Pitch (IQR),411.6,$6.30\times 10^{-78}$,0.273
Intensity Space (Median),149.5,$2.61\times 10^{-32}$,0.120
Temporal Modulation,74.5,$2.16\times 10^{-17}$,0.064
Roughness (IQR),69.9,$1.86\times 10^{-16}$,0.060
Inharmonicity,51.1,$1.59\times 10^{-12}$,0.045
Roughness (Median),49.2,$4.05\times 10^{-12}$,0.043
Pitch Space (IQR),29.2,$7.89\times 10^{-8}$,0.026
Attack Curve Slope (Median),29.0,$8.74\times 10^{-8}$,0.026
Energy Roll-off (85th \%ile),26.6,$2.92\times 10^{-7}$,0.024
First Formant (Median),19.4,$1.14\times 10^{-5}$,0.017
nPVI (per phrase),13.1,$3.01\times 10^{-4}$,0.012
