id,sung,infdir,cat,baby,adult,score,rt,rt_correct,pers
ACO02D,0,0,ad speech,.57599998,.42399999,.42399999,4.2653961,4.2653961,ACO02
ACO03D,0,0,ad speech,.49056605,.50943398,.50943398,3.0536666,3.0536666,ACO03
ACO03A,1,1,id song,.86466163,.13533835,.86466163,2.9968584,2.9968584,ACO03
ACO04C,1,0,ad song,.52066118,.47933885,.47933885,4.5945787,4.5945787,ACO04
ACO04A,1,1,id song,.62962961,.37037036,.62962961,4.0264096,4.0264096,ACO04
ACO05C,1,0,ad song,.3119266,.6880734,.6880734,3.6594794,3.6594794,ACO05
ACO05D,0,0,ad speech,.25490198,.74509805,.74509805,3.6364443,3.6364443,ACO05
ACO05A,1,1,id song,.8309859,.16901408,.8309859,3.5607719,3.5607719,ACO05
ACO05B,0,1,id speech,.58870965,.41129032,.58870965,4.4550834,4.4550834,ACO05
ACO06C,1,0,ad song,.54621851,.45378152,.45378152,4.0248041,4.0248041,ACO06
ACO06A,1,1,id song,.90769231,.092307694,.90769231,3.4895642,3.4895642,ACO06
ACO07C,1,0,ad song,.51785713,.48214287,.48214287,3.513849,3.513849,ACO07
ACO07A,1,1,id song,.62595421,.37404579,.62595421,4.1267562,4.1267562,ACO07
ACO08C,1,0,ad song,.44999999,.55000001,.55000001,3.482523,3.482523,ACO08
ACO08D,0,0,ad speech,.14529915,.85470086,.85470086,3.6200306,3.6200306,ACO08
ACO08A,1,1,id song,.52517986,.47482014,.52517986,4.0527,4.0527,ACO08
ACO08B,0,1,id speech,.18181819,.81818181,.18181819,3.1670001,3.1670001,ACO08
ACO09C,1,0,ad song,.64655173,.35344827,.35344827,4.6139488,4.6139488,ACO09
ACO09D,0,0,ad speech,.15652174,.84347826,.84347826,3.5390832,3.5390832,ACO09
ACO09A,1,1,id song,.73504275,.26495728,.73504275,3.6200602,3.6200602,ACO09
ACO10C,1,0,ad song,.64545453,.35454544,.35454544,3.1873784,3.1873784,ACO10
ACO10D,0,0,ad speech,.23655914,.76344085,.76344085,3.7122114,3.7122114,ACO10
ACO10A,1,1,id song,.84552848,.15447155,.84552848,3.0904555,3.0904555,ACO10
ACO11A,1,1,id song,.91666669,.083333336,.91666669,3.1583085,3.1583085,ACO11
ACO12C,1,0,ad song,.66379309,.33620688,.33620688,3.8135898,3.8135898,ACO12
ACO13C,1,0,ad song,.62831861,.37168142,.37168142,3.5565121,3.5565121,ACO13
ACO13A,1,1,id song,.80419582,.19580419,.80419582,3.2906435,3.2906435,ACO13
ACO14A,1,1,id song,.57936507,.42063493,.57936507,3.4921715,3.4921715,ACO14
ACO14B,0,1,id speech,.39024389,.60975611,.39024389,4.7340636,4.7340636,ACO14
ARA01C,1,0,ad song,.77477479,.22522523,.22522523,4.9437914,4.9437914,ARA01
ARA01A,1,1,id song,.68965518,.31034482,.68965518,4.0868354,4.0868354,ARA01
ARA02A,1,1,id song,.94400001,.056000002,.94400001,2.2605042,2.2605042,ARA02
ARA03C,1,0,ad song,.73394495,.26605505,.26605505,4.5188079,4.5188079,ARA03
ARA03A,1,1,id song,.72799999,.27200001,.72799999,3.3381364,3.3381364,ARA03
ARA04D,0,0,ad speech,.74774772,.25225225,.25225225,4.0470767,4.0470767,ARA04
ARA04A,1,1,id song,.93203884,.067961164,.93203884,2.6320729,2.6320729,ARA04
ARA04B,0,1,id speech,.76146787,.23853211,.76146787,3.8829999,3.8829999,ARA04
ARA05A,1,1,id song,.94957983,.050420169,.94957983,2.5321891,2.5321891,ARA05
ARA05B,0,1,id speech,.72950822,.27049181,.72950822,4.7432137,4.7432137,ARA05
ARA06C,1,0,ad song,.80000001,.2,.2,5.1406665,5.1406665,ARA06
ARA06A,1,1,id song,.88617885,.11382114,.88617885,3.3609629,3.3609629,ARA06
ARA07C,1,0,ad song,.89423078,.10576923,.10576923,4.5149999,4.5149999,ARA07
ARA07A,1,1,id song,.94495416,.055045873,.94495416,2.1823332,2.1823332,ARA07
ARA08C,1,0,ad song,.14851485,.85148513,.85148513,3.1397908,3.1397908,ARA08
ARA08D,0,0,ad speech,.14942528,.85057473,.85057473,3.1081126,3.1081126,ARA08
ARA09B,0,1,id speech,.86666667,.13333334,.86666667,3.3937378,3.3937378,ARA09
ARA10A,1,1,id song,.89473683,.10526316,.89473683,2.4737501,2.4737501,ARA10
ARA11C,1,0,ad song,.78431374,.21568628,.21568628,3.6797619,3.6797619,ARA11
ARA11A,1,1,id song,.94594592,.054054055,.94594592,2.263952,2.263952,ARA11
ARA12A,1,1,id song,.95081967,.049180329,.95081967,2.4878392,2.4878392,ARA12
BEJ01C,1,0,ad song,.62903225,.37096775,.37096775,3.5890908,3.5890908,BEJ01
BEJ01D,0,0,ad speech,.18260869,.81739128,.81739128,3.7537205,3.7537205,BEJ01
BEJ01A,1,1,id song,.90647483,.093525179,.90647483,3.0273306,3.0273306,BEJ01
BEJ01B,0,1,id speech,.5,.5,.5,4.1606984,4.1606984,BEJ01
BEJ02C,1,0,ad song,.69565219,.30434781,.30434781,3.4969707,3.4969707,BEJ02
BEJ02D,0,0,ad speech,.21969697,.780303,.780303,4.3687744,4.3687744,BEJ02
BEJ02A,1,1,id song,.95652175,.043478262,.95652175,2.6988153,2.6988153,BEJ02
BEJ02B,0,1,id speech,.6785714,.32142857,.6785714,3.922266,3.922266,BEJ02
BEJ03C,1,0,ad song,.80508476,.19491525,.19491525,4.1830001,4.1830001,BEJ03
BEJ03D,0,0,ad speech,.78991598,.21008404,.21008404,3.787909,3.787909,BEJ03
BEJ03A,1,1,id song,.71844661,.28155339,.71844661,3.7487261,3.7487261,BEJ03
BEJ03B,0,1,id speech,.84558821,.15441176,.84558821,4.440268,4.440268,BEJ03
BEJ04C,1,0,ad song,.6796875,.3203125,.3203125,4.3858252,4.3858252,BEJ04
BEJ04D,0,0,ad speech,.08730159,.91269839,.91269839,3.3183422,3.3183422,BEJ04
BEJ05C,1,0,ad song,.80909091,.19090909,.19090909,3.4155715,3.4155715,BEJ05
BEJ05D,0,0,ad speech,.10714286,.89285713,.89285713,3.1514688,3.1514688,BEJ05
BEJ05A,1,1,id song,.90476191,.095238097,.90476191,2.5312896,2.5312896,BEJ05
