id,feat,id_site,id_person,ids,infantdir,song,z
ACO01A,Attack Curve Slope (Median),ACO,1,1,Infant-directed,Song,-.4669278392880405
ACO01A,Inharmonicity,ACO,1,1,Infant-directed,Song,-2.17435359954834
ACO01A,Energy Roll-off (85th %ile),ACO,1,1,Infant-directed,Song,-.7661936283111572
ACO01A,Roughness (IQR),ACO,1,1,Infant-directed,Song,3.015286684036255
ACO01A,Roughness (Median),ACO,1,1,Infant-directed,Song,3.13206148147583
ACO01A,nPVI (per phrase),ACO,1,1,Infant-directed,Song,-1.581005713518743
ACO01A,nPVI (per recording),ACO,1,1,Infant-directed,Song,-1.600797212709711
ACO01A,Pitch (IQR),ACO,1,1,Infant-directed,Song,-1.093959200685391
ACO01A,Pitch (Median),ACO,1,1,Infant-directed,Song,-.4280029006068227
ACO01A,Pitch Rate (Whole),ACO,1,1,Infant-directed,Song,.2302317172288895
ACO01A,Pitch Space (IQR),ACO,1,1,Infant-directed,Song,-.6386237740516663
ACO01A,Pitch Space (Median),ACO,1,1,Infant-directed,Song,-.1347518265247345
ACO01A,Pitch Rate (IQR),ACO,1,1,Infant-directed,Song,-.0172627475112677
ACO01A,Pitch Rate (Median),ACO,1,1,Infant-directed,Song,.0769620016217232
ACO01A,First Formant (Median),ACO,1,1,Infant-directed,Song,.93878173828125
ACO01A,Intensity (IQR),ACO,1,1,Infant-directed,Song,-.294376939535141
ACO01A,Intensity (Median),ACO,1,1,Infant-directed,Song,1.278141617774963
ACO01A,Intensity Space (IQR),ACO,1,1,Infant-directed,Song,-.2890111207962036
ACO01A,Intensity Space (Median),ACO,1,1,Infant-directed,Song,-.3749611079692841
ACO01A,Intensity Rate (Whole),ACO,1,1,Infant-directed,Song,.6530662775039673
ACO01A,Intensity Rate (IQR),ACO,1,1,Infant-directed,Song,.1656909883022308
ACO01A,Intensity Rate (Median),ACO,1,1,Infant-directed,Song,.5615295767784119
ACO01A,Vowel Space (IQR),ACO,1,1,Infant-directed,Song,-1.418029189109802
ACO01A,Vowel Space (Median),ACO,1,1,Infant-directed,Song,-1.435168981552124
ACO01A,Vowel Rate (Whole),ACO,1,1,Infant-directed,Song,.1132764220237732
ACO01A,Vowel Rate (IQR),ACO,1,1,Infant-directed,Song,-.1744364202022552
ACO01A,Vowel Rate (Median),ACO,1,1,Infant-directed,Song,-.2783037722110748
ACO01B,Attack Curve Slope (Median),ACO,1,0,Infant-directed,Speech,1.104140972070583
ACO01B,Inharmonicity,ACO,1,0,Infant-directed,Speech,.565443217754364
ACO01B,Energy Roll-off (85th %ile),ACO,1,0,Infant-directed,Speech,-1.464456558227539
ACO01B,Roughness (IQR),ACO,1,0,Infant-directed,Speech,2.757187843322754
ACO01B,Roughness (Median),ACO,1,0,Infant-directed,Speech,.8052904009819031
ACO01B,nPVI (per phrase),ACO,1,0,Infant-directed,Speech,-1.297906834274775
ACO01B,nPVI (per recording),ACO,1,0,Infant-directed,Speech,-1.670247090798988
ACO01B,Pitch (IQR),ACO,1,0,Infant-directed,Speech,-.2923431588209416
ACO01B,Pitch (Median),ACO,1,0,Infant-directed,Speech,.2980821254423129
ACO01B,Pitch Rate (Whole),ACO,1,0,Infant-directed,Speech,1.482257604598999
ACO01B,Pitch Space (IQR),ACO,1,0,Infant-directed,Speech,.634031355381012
ACO01B,Pitch Space (Median),ACO,1,0,Infant-directed,Speech,2.489511251449585
ACO01B,Pitch Rate (IQR),ACO,1,0,Infant-directed,Speech,1.752084255218506
ACO01B,Pitch Rate (Median),ACO,1,0,Infant-directed,Speech,2.842297554016113
ACO01B,First Formant (Median),ACO,1,0,Infant-directed,Speech,1.036882281303406
ACO01B,Intensity (IQR),ACO,1,0,Infant-directed,Speech,.2586341798305511
ACO01B,Intensity (Median),ACO,1,0,Infant-directed,Speech,1.028715968132019
ACO01B,Intensity Space (IQR),ACO,1,0,Infant-directed,Speech,1.852770209312439
ACO01B,Intensity Space (Median),ACO,1,0,Infant-directed,Speech,1.979868173599243
ACO01B,Intensity Rate (Whole),ACO,1,0,Infant-directed,Speech,2.656542062759399
ACO01B,Intensity Rate (IQR),ACO,1,0,Infant-directed,Speech,2.585835218429565
ACO01B,Intensity Rate (Median),ACO,1,0,Infant-directed,Speech,2.542117595672607
ACO01B,Vowel Space (IQR),ACO,1,0,Infant-directed,Speech,.3411852121353149
ACO01B,Vowel Space (Median),ACO,1,0,Infant-directed,Speech,.4989762306213379
ACO01B,Vowel Rate (Whole),ACO,1,0,Infant-directed,Speech,2.677425146102905
ACO01B,Vowel Rate (IQR),ACO,1,0,Infant-directed,Speech,1.635237693786621
ACO01B,Vowel Rate (Median),ACO,1,0,Infant-directed,Speech,2.558659553527832
ACO01C,Attack Curve Slope (Median),ACO,1,0,Adult-directed,Song,.7906011043033117
ACO01C,Inharmonicity,ACO,1,0,Adult-directed,Song,-2.17435359954834
ACO01C,Energy Roll-off (85th %ile),ACO,1,0,Adult-directed,Song,-.8774091005325317
ACO01C,Roughness (IQR),ACO,1,0,Adult-directed,Song,1.061132669448853
ACO01C,Roughness (Median),ACO,1,0,Adult-directed,Song,.4142118990421295
ACO01C,nPVI (per phrase),ACO,1,0,Adult-directed,Song,-1.121122143911041
ACO01C,nPVI (per recording),ACO,1,0,Adult-directed,Song,-1.109905989951497
ACO01C,Pitch (IQR),ACO,1,0,Adult-directed,Song,-.8226313288721143
ACO01C,Pitch (Median),ACO,1,0,Adult-directed,Song,-.4600303717718365
ACO01C,Pitch Rate (Whole),ACO,1,0,Adult-directed,Song,-.4972825944423676
ACO01C,Pitch Space (IQR),ACO,1,0,Adult-directed,Song,-.8215763568878174
ACO01C,Pitch Space (Median),ACO,1,0,Adult-directed,Song,-.7397568225860596
ACO01C,Pitch Rate (IQR),ACO,1,0,Adult-directed,Song,-.4154503345489502
ACO01C,Pitch Rate (Median),ACO,1,0,Adult-directed,Song,-.3718929588794708
ACO01C,First Formant (Median),ACO,1,0,Adult-directed,Song,.4969757795333862
ACO01C,Intensity (IQR),ACO,1,0,Adult-directed,Song,-1.057772755622864
ACO01C,Intensity (Median),ACO,1,0,Adult-directed,Song,.8983913660049438
ACO01C,Intensity Space (IQR),ACO,1,0,Adult-directed,Song,-.1360267102718353
ACO01C,Intensity Space (Median),ACO,1,0,Adult-directed,Song,-.1814135015010834
ACO01C,Intensity Rate (Whole),ACO,1,0,Adult-directed,Song,.8565134406089783
ACO01C,Intensity Rate (IQR),ACO,1,0,Adult-directed,Song,.7609251737594604
ACO01C,Intensity Rate (Median),ACO,1,0,Adult-directed,Song,.5287946462631226
ACO01C,Vowel Space (IQR),ACO,1,0,Adult-directed,Song,-.8186228275299072
