id,cat,baby,praat_f0_mean_c,praat_f0_median_c,praat_f0_std_c,praat_f0_min_c,praat_f0_max_c,praat_f0_first_quart_c,praat_f0_third_quart_c,praat_f0_iqr_c,praat_f1_mean_c,praat_f1_median_c,praat_f1_std_c,praat_f1_min_c,praat_f1_max_c,praat_f1_first_quart_c,praat_f1_third_quart_c,praat_f1_iqr_c,praat_f2_mean_c,praat_f2_median_c,praat_f2_std_c,praat_f2_min_c,praat_f2_max_c,praat_f2_first_quart_c,praat_f2_third_quart_c,praat_f2_iqr_c,praat_it_mean_c,praat_it_median_c,praat_it_std_c,praat_it_min_c,praat_it_max_c,praat_it_first_quart_c,praat_it_third_quart_c,praat_it_iqr_c,praat_ittrv_mean_c,praat_ittrv_median_c,praat_ittrv_std_c,praat_ittrv_max_c,praat_ittrv_first_quar_c,praat_ittrv_third_quar_c,praat_ittrv_iqr_c,praat_vowtrv_mean_c,praat_vowtrv_median_c,praat_vowtrv_std_c,praat_vowtrv_max_c,praat_vowtrv_first_quart_c,praat_vowtrv_third_quart_c,praat_vowtrv_iqr_c,praat_f0trv_mean_c,praat_f0trv_median_c,praat_f0trv_std_c,praat_f0trv_max_c,praat_f0trv_first_quart_c,praat_f0trv_third_quart_c,praat_f0trv_iqr_c,praat_f0_range_c,praat_f1_range_c,praat_f2_range_c,praat_it_range_c,praat_ittrv_range_c,praat_vowtrv_range_c,praat_f0trv_range_c,praat_f0trv_rate_median_c,praat_f0trv_rate_iqr_c,praat_vowtrv_rate_median_c,praat_vowtrv_rate_iqr_c,praat_ittrv_rate_media_c,praat_ittrv_rate_iqr_c,praat_f0_trv_rate_default_c,praat_vowtrv_rate_default_c,praat_ittrv_rate_defau_c,mir_attack_mean_c,mir_attack_std_c,mir_attack_range_c,mir_attack_min_c,mir_attack_1q_c,mir_attack_med_c,mir_attack_3q_c,mir_attack_max_c,mir_attack_dist_c,mir_attack_iqr_c,mir_roughness_mean_c,mir_roughness_std_c,mir_roughness_range_c,mir_roughness_1q_c,mir_roughness_med_c,mir_roughness_3q_c,mir_roughness_max_c,mir_roughness_dist_c,mir_rolloff85_c,mir_inharmonicity_c,mir_roughness_iqr_c,mir_tempo_c,mir_pulseclarity_c,tm_peak_hz_c,tm_peak_idx_c,tm_std_idx_c,tm_std_hz_c,npvi_phrase_c,npvi_total_c,npvi_num_events_c
ACO05A,id song,.8309859,-.14690974,-.034100376,-.23455681,-.19742522,-1.0357763,-.1389332,-.14039633,-.087519363,-.11538938,-.14376016,.20274572,-.18103541,-.26549211,-.52234614,.3339588,.79919028,.086312786,-.28268912,.6413883,-1.4882721,.81637341,.02088817,.59893668,.59540397,-.009487452,-.049511295,-.80224848,-.15640607,-.13646325,.10044715,-.13015752,-.56128675,-1.2108827,-1.284476,-.75252181,.17785308,-1.1517159,-1.3282555,-1.2851883,-.423913,-.66128534,-.53847182,.48976561,-.90632087,-.17451444,-.036254786,-1.1073331,-.79373866,-1.2112147,-1.1190344,-.67809057,-.58478421,-.53988624,-1.0064007,-.1864863,1.3635304,.072063535,.17841145,.48976392,-1.1190338,-.69299978,-.47335511,-.61352468,-.37661907,-.85521829,-.7812196,-.74770707,-.45333287,-.72757953,-.28165805,.011995666,.20334284,-.82783937,-.31371036,-.31238258,-.53030652,.17967057,.11044051,-.54776937,-1.1888815,-1.2289127,-1.0591279,-.048280541,-.61005741,-1.0563513,-1.0591285,-1.4505982,.010600938,-.27684632,-1.1244087,-1.3162248,-.13457827,-1.2715982,-1.2715982,.48790801,.48790464,.52063698,.69565195,.54162967
ACO05B,id speech,.58870965,.075343609,-.027041854,.087572433,-.12284468,-.84399354,.019414093,.17216904,.30777285,.052437831,.055224881,-.39050549,1.0589581,-.046243124,.60017884,-.47078535,-1.0241475,-.12781432,.022822257,-1.6375693,1.8291069,-.86596578,.47038519,-.90484464,-1.4849575,.33147746,.36187017,.2506184,.32533321,.36572102,.26091069,.36127949,.25284109,.72135776,.86743808,.54283744,-.16539197,.90666986,.62621737,.52530837,-.39445221,-.11596157,.03936661,-.55965883,.24394988,-.59585571,-.7330988,.12411901,.66088587,-.051670976,-.93334669,1.0476905,.53590256,.44716534,-.8277753,-.30009925,-1.5614947,-.11083873,-.16708389,-.55965692,-.93334621,.78332388,.5178315,.32197726,-.068361968,.9250834,.77456248,.46269849,.259671,.7622897,-.23355483,-.3828696,-.40000349,-.63617033,.077962339,.13017158,-.064843707,-.41949373,-.90226609,-.12358137,.94312805,1.4798839,1.1786834,1.6100891,1.3269686,1.0152715,1.178684,1.607698,-1.1364039,.32927012,.87791181,-.28104717,-.049975585,.83311623,.83311605,-.55891383,-.55891287,-1.1306336,-.82651204,-1.3386388
ACO05C,ad song,.3119266,.22984952,.25091133,.0792851,-.064032607,1.4007195,.33509722,.12637798,-.20010825,-.046837579,.23648435,-.20673387,.34294891,.33135819,.10791653,-.29199344,-.43628347,-.12051555,-.031866405,.73024809,.030424619,-.30348665,-.64204276,.25165808,1.009272,-.16677351,-.11135747,.54688394,-.1604781,-.19682834,-.1486823,-.08567109,.14491913,.016559189,.25022253,-.51521122,.13027476,-.05391017,.49804282,.59138495,-.24121194,-.19840829,-.33398291,-.049023472,-.23961888,-.22989009,-.22192894,.62638873,-.0011258961,.95396841,1.4757094,-.28051302,-.01101012,.019727955,1.4281813,.27885386,-.25650299,.0076821409,.13083518,-.0490233,1.4757087,-.38046807,-.14154461,-.48822185,-.34229371,-.41760987,-.26099947,-.069358714,-.39605716,-.37021059,.97996247,.56067848,.36078191,2.4369934,.82594603,.60031551,.95965123,.43430907,.27086881,.86558676,-.65300077,-1.043745,-1.0554448,-.15935017,.16173244,-.022561569,-1.0554454,-.59913421,.83159459,-.10337653,.025465963,.81676328,1.4123706,-.043848224,-.043848213,.048629712,.048630495,-.35200647,-.42804071,-1.0018743
ACO05D,ad speech,.25490198,-.15828303,-.18976942,.067699172,.38430291,.47904983,-.21557823,-.15815048,-.020145098,.10979002,-.14794832,.3944934,-1.2208718,-.019622628,-.18574873,.42882001,.66124082,.16201614,.29173499,.26593336,-.37125984,.35308081,.15076941,.054249089,-.11971793,-.1552165,-.20099927,.0047464995,-.0084500583,-.032430403,-.21267556,-.14544983,.16352654,.47296548,.1668151,.72489518,-.142735,.2989561,.20399551,.16849521,1.0595773,.97565478,.83308816,.11891609,.90199,1.0002599,.99128234,.35682541,.13397853,.30891663,.5766719,-.089086756,.05989176,.072993197,.40599421,.20773108,.4544673,.031093609,-.14216274,.11891567,.5766716,.29014382,.097068235,.7797693,.78727466,.34774458,.26765648,.35436717,.58971894,.33550039,-.46474937,-.18980464,-.16412133,-.9729836,-.59019768,-.41810474,-.3645013,-.19448595,.52095681,-.19423586,.898754,.79277378,.93588942,-1.4024582,-.87864387,.063641459,.93588996,.44203448,.29420859,.050952718,.2210305,.78050894,-1.2278171,.48233047,.48233035,.022376126,.022377715,.96200347,.55890149,1.7988838
ACO08A,id song,.52517986,.47838038,.4659816,.25344855,.0005327441,-.12521517,.50936067,.44508606,.18595076,.82305837,.64450061,-.076433636,1.1724051,.70476919,.6552676,.95998293,.67424768,.097808138,.033592179,.73727345,-.80346763,.32894617,-.030356728,.57830662,.63193208,.68717355,.69349426,.3498719,-.094678037,.51920199,.78312373,.63002241,-.88322282,-.0084841158,-.92999399,.52718467,.38323334,-.97038186,-.45897794,-.31826851,-.72121519,-1.2073834,-.25094789,-.46747366,-1.7128704,-.74145973,-.54421496,-.11795968,-.48581302,.016790185,-.407859,-.59415758,-.1269674,-.067321412,-.12661649,.46018022,.49459502,1.0414456,.38406715,-.46747205,-.40785879,-.19846262,.074755065,-.49498984,-.0047060535,-.36836094,.092845768,.034950972,-.20599149,.10990244,.017558854,-.034344222,.2310836,1.4073529,.15942074,-.091997787,.20480205,.27343187,-.066938557,.1929253,-.011211819,.16365735,.01443241,.80977452,1.0797259,.90182579,.014432418,-.00087476405,-.50058335,.19031186,.92984354,-.16961159,-.2187679,-.63579917,-.63579911,.089702375,.089700386,.8900795,1.2820574,.68194818
ACO08B,id speech,.18181819,.23502649,.28083846,.41535494,-.033561211,.089940988,.094274983,.29484981,.44604677,-.20672581,-.020624023,-.47679642,-.2204878,-1.0588126,.12003367,-.38634801,-.56014049,.32073301,.51725233,-.62069339,1.9861934,-1.6202033,.24057624,.15027337,-.12699604,.14275776,.16029619,.26815426,.092642032,.12618814,.045009162,.21748003,.71079576,.45493373,1.3053277,-.13121907,.069894776,1.6173029,.71909684,.47685221,.21129772,.93679345,-.19190274,-.099954925,1.2654885,.36468458,.19046395,.193317,.973315,-.11399612,-.75554764,1.4114006,.50896287,.37819996,.097681634,-.9398737,-1.8479954,-.072063535,.06734398,-.099954583,-.75554729,.54029596,.38939822,.30592203,-.01534027,.47897804,.22712731,.092408441,.019770252,.14053595,.62490845,.14013396,-.038374234,.43431678,.84151047,.81795692,.38580987,-.025548652,-1.0875634,.10009037,.38568616,.58839774,.54694796,.01790474,.017952845,.18259738,.54694825,.96956658,-.85988879,-.95792359,.20007002,.27371415,1.35795,.50425446,.50425446,.57745206,.57745832,-.60570288,-.39915746,-1.7595944
ACO08C,ad song,.44999999,.071432017,.040085591,-.26314455,-.10686322,-.30055931,.086632952,.10533106,.089030303,-.1758873,-.29330239,.22764705,-.87213081,.34430593,-.23715277,-.059026022,.10669023,-.42839444,-.41465384,.45418927,-.7201314,2.2574773,-.59755325,-.28834283,.39670387,-.1442723,-.069020405,.19103351,-.060743175,.13132569,-.14389189,-.11755817,.19971757,-.28592873,-.09591867,-.51617354,.38323334,-.18623495,.049950246,.10021604,-.15441281,.033179894,-.3075693,.1725862,-.24170943,-.033827361,.0050238846,.17347993,-.13454148,.2211587,.25447196,-.40567639,-.10197998,-.062060647,-.281973,.45785385,2.0406344,.099132717,.38406715,.17258561,.25447184,-.38970384,-.32042176,-.43191859,-.38764659,-.34483367,-.32312152,-.25330994,-.46724796,-.53276253,.26669067,-.04474448,.047284164,-.77920669,.43975857,.38717604,.27644143,.024339933,2.045109,.15113205,-.17007129,-.19792332,-.064729907,-.71935326,-.62406588,-.488298,-.064729936,-.28931054,.71313947,.27375188,-.48077482,-.30126712,-.56436664,-.46040645,-.46040624,-.59635007,-.5963518,-.34624732,-.042792216,1.5182468
ACO08D,ad speech,.14529915,-.78483862,-.78690618,-.40565869,.13989179,.33583373,-.69026899,-.84526664,-.72102773,-.44044435,-.33057421,.32558277,-.079786949,.0097375344,-.53814894,-.51460773,-.22079743,.0098532997,-.13619065,-.5707702,-.46259436,-.96622115,.38733372,-.44023713,-.90163988,-.68566114,-.784769,-.80905968,.062779702,-.77671683,-.68424255,-.72994316,-.027290741,-.16052052,-.27941525,.12020796,-.83636314,-.46068636,-.31006932,-.25879973,.66432977,.23740983,.75042039,.39484176,.68909109,.41060248,.34872714,-.24883725,-.35296029,-.12395237,.90893471,-.41156641,-.28001553,-.24881786,.31090757,.021838987,-.68723297,-1.0685153,-.83547652,.39484039,.90893424,.047870375,-.1437315,.62098628,.40769276,.23421666,.0031485846,.12595041,.65346909,.28232402,-.90915793,-.061045267,-.2399938,-1.062463,-1.44069,-1.1131356,-.86705363,-.27222326,-.89060724,-.44414794,-.2044031,-.55413181,-.49665055,-.10832606,-.47361282,-.5961253,-.49665082,-.67938137,.64733261,.49386102,-.64913869,.19716482,-.57481545,.59195089,.59195089,-.070805266,-.070806906,.061869681,-.8401072,-.44060013
BEJ01A,id song,.90647483,.40020549,.26746064,.51281631,-.16727333,-.068921797,.099683486,.54309958,.91981167,-.8772763,-.78188664,-.8447119,-.87941891,-.5374853,-.52716184,-.57318246,-.30029252,-.14770664,-.44304404,.54268003,-.013056045,-.037639633,-.56732845,.51131696,.55597758,.012659932,-.057676937,-.42127174,.17544317,1.0379552,.17798398,-.042609628,-1.0103408,-.69709986,-.94250518,-.32399574,-.17445475,-.9336248,-1.0206839,-.98288834,-.35496336,-.59742153,-.13728194,.33104828,-.81450766,-.48861822,-.41599232,-.72521251,-.87649012,-.31932616,-.076051652,-.36739114,-.62812185,-.62019527,-.035681829,-.35332343,-.023122994,1.0026704,-.17416373,.33104712,-.076051615,-.54436564,-.50061065,-.47995082,-.55737168,-.61935067,-.63533646,-.5489825,-.37969032,-.42136648,.6863606,1.9298257,-.30593464,.46963501,-2.0136268,.68487984,1.0279459,-.29277042,-1.2481542,1.2338892,.034007743,.024035303,.043535717,-.0046129995,-.0038617223,-.0028787809,.043535739,.0041495976,-.55803651,.55656391,-.0028466221,-.52142411,1.9211328,.43848222,.43848214,.43703869,.43703949,.74192476,1.2558038,.22450967
BEJ01B,id speech,.5,-.1886421,-.25467926,.12899271,.071810536,1.433661,-.18239722,-.27027899,-.28143492,.23255713,-.2805393,.65682834,.1447669,.22690463,-.42823368,.62121606,1.0776795,.4833622,.92560726,.54268003,-.32422942,-.1086273,.073231325,.55530208,.55597758,-.084914386,-.057676937,.32565114,-.23041774,-.50751483,-.16497982,-.035936609,.86191738,.25123239,.34197074,.20493183,-.060039882,.37001941,.38546601,.36727521,1.1220329,1.1869655,.97490042,.25013608,1.2840428,1.1775354,1.1264135,.72799522,1.0037135,.64720088,1.3899879,.75466114,.51755238,.46056378,1.4338905,.18568788,.073307723,-.36836544,-.059753813,.25013521,1.3899872,.33186808,.49203587,.77500111,.71916676,.23396751,.40025523,.58460069,.65404809,.24824001,.12691547,-.23003152,.74264896,-.19540726,1.5406718,-.03925854,-.53284818,.73870265,.24642012,-1.0855936,-.029377993,-.0099135796,-.017799737,.001215923,.0023308955,.0023283185,-.017799746,-.0016969582,.47066173,.16786775,.0024358805,-.5146544,-.70167667,1.9912818e-07,0,-.12424425,-.1242483,.079337865,-.065492578,-.28063709
