stimulus,sung,infdir,fieldsite,cat,baby,fsm,n
ACO02,0,0,ACO,ad speech,.57599998,.55918288,29
ACO03,0,0,ACO,ad speech,.49056605,.55918288,29
ACO03,1,1,ACO,id song,.86466163,.55918288,29
ACO04,1,0,ACO,ad song,.52066118,.55918288,29
ACO04,1,1,ACO,id song,.62962961,.55918288,29
ACO05,1,0,ACO,ad song,.3119266,.55918288,29
ACO05,0,0,ACO,ad speech,.25490198,.55918288,29
ACO05,1,1,ACO,id song,.8309859,.55918288,29
ACO05,0,1,ACO,id speech,.58870965,.55918288,29
ACO06,1,0,ACO,ad song,.54621851,.55918288,29
ACO06,1,1,ACO,id song,.90769231,.55918288,29
ACO07,1,0,ACO,ad song,.51785713,.55918288,29
ACO07,1,1,ACO,id song,.62595421,.55918288,29
ACO08,1,0,ACO,ad song,.44999999,.55918288,29
ACO08,0,0,ACO,ad speech,.14529915,.55918288,29
ACO08,1,1,ACO,id song,.52517986,.55918288,29
ACO08,0,1,ACO,id speech,.18181819,.55918288,29
ACO09,1,0,ACO,ad song,.64655173,.55918288,29
ACO09,0,0,ACO,ad speech,.15652174,.55918288,29
ACO09,1,1,ACO,id song,.73504275,.55918288,29
ACO10,1,0,ACO,ad song,.64545453,.55918288,29
ACO10,0,0,ACO,ad speech,.23655914,.55918288,29
ACO10,1,1,ACO,id song,.84552848,.55918288,29
ACO11,1,1,ACO,id song,.91666669,.55918288,29
ACO12,1,0,ACO,ad song,.66379309,.55918288,29
ACO13,1,0,ACO,ad song,.62831861,.55918288,29
ACO13,1,1,ACO,id song,.80419582,.55918288,29
ACO14,1,1,ACO,id song,.57936507,.55918288,29
ACO14,0,1,ACO,id speech,.39024389,.55918288,29
ARA01,1,0,ARA,ad song,.77477479,.77411926,21
ARA01,1,1,ARA,id song,.68965518,.77411926,21
ARA02,1,1,ARA,id song,.94400001,.77411926,21
ARA03,1,0,ARA,ad song,.73394495,.77411926,21
ARA03,1,1,ARA,id song,.72799999,.77411926,21
ARA04,0,0,ARA,ad speech,.74774772,.77411926,21
ARA04,1,1,ARA,id song,.93203884,.77411926,21
ARA04,0,1,ARA,id speech,.76146787,.77411926,21
ARA05,1,1,ARA,id song,.94957983,.77411926,21
ARA05,0,1,ARA,id speech,.72950822,.77411926,21
ARA06,1,0,ARA,ad song,.80000001,.77411926,21
ARA06,1,1,ARA,id song,.88617885,.77411926,21
ARA07,1,0,ARA,ad song,.89423078,.77411926,21
ARA07,1,1,ARA,id song,.94495416,.77411926,21
ARA08,1,0,ARA,ad song,.14851485,.77411926,21
ARA08,0,0,ARA,ad speech,.14942528,.77411926,21
ARA09,0,1,ARA,id speech,.86666667,.77411926,21
ARA10,1,1,ARA,id song,.89473683,.77411926,21
ARA11,1,0,ARA,ad song,.78431374,.77411926,21
ARA11,1,1,ARA,id song,.94594592,.77411926,21
ARA12,1,1,ARA,id song,.95081967,.77411926,21
BEJ01,1,0,BEJ,ad song,.62903225,.60725325,103
BEJ01,0,0,BEJ,ad speech,.18260869,.60725325,103
BEJ01,1,1,BEJ,id song,.90647483,.60725325,103
BEJ01,0,1,BEJ,id speech,.5,.60725325,103
BEJ02,1,0,BEJ,ad song,.69565219,.60725325,103
BEJ02,0,0,BEJ,ad speech,.21969697,.60725325,103
BEJ02,1,1,BEJ,id song,.95652175,.60725325,103
BEJ02,0,1,BEJ,id speech,.6785714,.60725325,103
BEJ03,1,0,BEJ,ad song,.80508476,.60725325,103
BEJ03,0,0,BEJ,ad speech,.78991598,.60725325,103
BEJ03,1,1,BEJ,id song,.71844661,.60725325,103
BEJ03,0,1,BEJ,id speech,.84558821,.60725325,103
BEJ04,1,0,BEJ,ad song,.6796875,.60725325,103
BEJ04,0,0,BEJ,ad speech,.08730159,.60725325,103
BEJ05,1,0,BEJ,ad song,.80909091,.60725325,103
BEJ05,0,0,BEJ,ad speech,.10714286,.60725325,103
BEJ05,1,1,BEJ,id song,.90476191,.60725325,103
BEJ06,1,0,BEJ,ad song,.66055048,.60725325,103
BEJ06,1,1,BEJ,id song,.89041096,.60725325,103
BEJ07,1,0,BEJ,ad song,.77118641,.60725325,103
BEJ07,0,0,BEJ,ad speech,.12280702,.60725325,103
